,index,channelTitle,channelId.1,publishTime,title,videoId,description,videoURL,artist,song,desc_required
0,1,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2013-05-01T16:39:45Z,Disfigure - Blank [NCS Release],p7ZsBPK656s,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=p7ZsBPK656s,Disfigure,Blank,"Track: Disfigure - Blank [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/p7ZsBPK656s
Free Download / Stream: https://ncs.io/Blank"
1,2,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2013-05-05T16:32:30Z,Spektrem - Shine [NCS Release],n4tK7LYFxI0,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=n4tK7LYFxI0,Spektrem,Shine,"Track: Spektrem - Shine [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/n4tK7LYFxI0
Free Download / Stream: https://ncs.io/Shine"
2,3,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2013-11-13T17:43:42Z,Different Heaven &amp; EH!DE - My Heart [NCS Release],jK2aIUmmdP4,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=jK2aIUmmdP4,Different Heaven &amp; EH!DE,My Heart,"Track: Different Heaven \u0026 EH!DE - My Heart [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/jK2aIUmmdP4
Free Download / Stream: https://ncs.io/MyHeart"
3,4,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2014-01-30T17:16:36Z,Aero Chord feat. DDARK - Shootin Stars [NCS Release],PTF5xgT-pm8,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=PTF5xgT-pm8,Aero Chord feat. DDARK,Shootin Stars,"Track: Aero Chord feat. DDARK - Shootin Stars [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/h18gwLKQf_Q
Free Download / Stream: https://ncs.io/ShootinStars"
4,5,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2014-02-02T16:09:41Z,Audioscribe - Free Fall [NCS Release],8ciZGNmlWgo,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS : Copyright Free Music / Royalty Free Music / Stream ...,https://www.youtube.com/watch?v=8ciZGNmlWgo,Audioscribe,Free Fall,"Track: Audioscribe - Free Fall [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/8ciZGNmlWgo
Free Download / Stream: https://ncs.io/FreeFall"
5,6,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2014-02-16T16:07:16Z,Laszlo - Fall To Light [NCS Release],Lq2UrnDsI_s,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=Lq2UrnDsI_s,Laszlo,Fall To Light,"Track: Laszlo - Fall To Light [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/Lq2UrnDsI_s
Free Download / Stream: https://ncs.io/FallToLight"
6,7,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2014-02-25T17:32:17Z,DM Galaxy - Paralyzed (feat. Tyler Fiore) [NCS Release],T-zcs6yDM3k,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=T-zcs6yDM3k,DM Galaxy,Paralyzed (feat. Tyler Fiore),"Track: DM Galaxy - Paralyzed (feat. Tyler Fiore) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/T-zcs6yDM3k
Free Download / Stream: https://ncs.io/paralyzed"
7,8,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2014-03-17T17:34:08Z,Codeko - Crest [NCS Release],q1jqaK49SgU,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS (NoCopyrightSounds): Empowering Creators ...,https://www.youtube.com/watch?v=q1jqaK49SgU,Codeko,Crest,"Track: Codeko - Crest [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/q1jqaK49SgU
Free Download / Stream: https://NCS.io/crest"
94,95,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2017-10-26T16:07:15Z,Lost Sky - Lost [NCS Release],h-nHdqC3pPs,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS: Music Without Limitations. Our Spotify Playlist ...,https://www.youtube.com/watch?v=h-nHdqC3pPs,Lost Sky,Lost,"Track: Lost Sky - Lost [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/h-nHdqC3pPs
Free Download / Stream: http://ncs.io/LostYO"
95,96,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,2017-11-08T17:18:17Z,Dirty Palm - Oblivion (feat. Micah Martin) [NCS Release],8Yue9YYdNLM,Subscribe to NoCopyrightSounds http://ncs.lnk.to/SubscribeYouTube NCS: Music Without Limitations. Our Spotify Playlist ...,https://www.youtube.com/watch?v=8Yue9YYdNLM,Dirty Palm,Oblivion (feat. Micah Martin),"Track: Dirty Palm - Oblivion (feat. Micah Martin) [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/8Yue9YYdNLM
Free Download / Stream: http://ncs.io/OblivionYO"
