,id,desc,createTime,height,width,duration,downloadAddr,shareCount,commentCount,playCount,followerCount,heartCount,uniqueId,nickname,videoUrl
7,7154002454273609003,The #spinning#wheel defies gravity? No! It obeys the direction of #gravity. #tamu #fyp #teacher #teachersoftiktok #gyroscope #funny #science #physics,1665702001,1024,576,29,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/6855e7222fb74ba5954ed7f8de3445ad/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3476&bt=1738&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=ZjZoNmU5ZjVoNWlmZGc1M0BpM2VvO2Q6Zjk0ZzMzZzgzNEAwLS1iY2AxNmExLy0vYS81YSNwXjU1cjRnbjFgLS1kLy9zcw%3D%3D&expire=1681343033&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=1ca82414acfa47e5b771292efb4674fd&tk=tt_chain_token,98200,35400,89300000,1500000,28100000,tamuphysastr,TAMU Physics & Astronomy,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40tamuphysastr%2Fvideo%2F7154002454273609003
2,7182788216725015850,#washhair #haircare #amazing #smooth #hairstyle #fypシ ,1672373214,1024,576,8,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/4d52f9bf5e254227ac0a9b220a3ad1fc/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4612&bt=2306&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=ZjloNTUzPGVnOjY2OjdpOUBpMzdpOGc6ZnI5aDMzZzczNEBfNi8xNTQ2NWAxLWE2Mi8yYSMubGxxcjRvM2tgLS1kMS9zcw%3D%3D&expire=1681343012&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=eb01c25179e8ac2e30e038972595ea8a&tk=tt_chain_token,9793,30300,69900000,312800,10000000,shockingwig,Xo_shockingwig,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40shockingwig%2Fvideo%2F7182788216725015850
4,7191482758697438507,I get so stressed. #childhood #food #roadtrip #funny #foryou #fyp ,1674397591,1024,576,5,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/93872a7b42c34042af07fc27a9647776/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3314&bt=1657&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=Zzk2N2Q2NzNnNjs0ZmVnZ0BpM2U3N2c6ZmxuaTMzZzczNEBfL182X181NS4xLi40NTNfYSNuMzBucjRvYTNgLS1kMS9zcw%3D%3D&expire=1681343009&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=b340ef7f8a508552d209ae6dedb544cb&tk=tt_chain_token,275700,87500,54600000,68000,43800000,dale_ebert,Dale Ebert,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40dale_ebert%2Fvideo%2F7191482758697438507
9,7157735365191748907,Before and after the gas chamber #army #military #miltokcommunity #miltok #rotc #cadet #gas #csgas #fyp #fypシ ,1666540144,1024,576,104,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/07e6a717646b4355a0b32496e2917341/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4736&bt=2368&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=N2c4Zjo2NTU3OTs6Zjo0Z0Bpams8aDM6ZjZwZzMzZzczNEAwYC41Y2M0NWIxLS9hYjJhYSMzcDFhcjRfLl5gLS1kMS9zcw%3D%3D&expire=1681343108&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=eaea32f3d9e9f057f0476cb0410d37ff&tk=tt_chain_token,97400,58000,42100000,118000,8600000,bholley08,Brandon,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40bholley08%2Fvideo%2F7157735365191748907
3,7209072472598039851,#fyp #bruh #friendship ,1678492993,1024,576,13,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/3dc69a0d8da64345a97b09d1e04abba9/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1620&bt=810&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=NmQ8O2hnOzQ8MzRlOjhkOEBpM2R0bzg6Zjx2ajMzZzczNEA2YzQyMmMxNV8xNmJeYWNgYSM2c25vcjRnNjJgLS1kMS9zcw%3D%3D&expire=1681343017&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=c17e05e64c416b10028fb372540f551d&tk=tt_chain_token,213000,97900,30500000,84700,8000000,alanccito,alan,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40alanccito%2Fvideo%2F7209072472598039851
8,7198388712663977262,AND DESTROYYY INDIA👹👹 #pakistan #grape #wowgrape #interview #funny #fypシ #fyp #viral ,1676005504,576,664,65,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/5349556dfa8b4b13842f309fe9eea30c/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1218&bt=609&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=Zzg4ZWhnNDpkOWc8NTZkOkBpanFmZzw6ZnV2aTMzZzczNEBhYTFgNjUuXmExMTUuLzAwYSNqLW9tcjRvaGZgLS1kMS9zcw%3D%3D&expire=1681343069&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=6e50c3aaf8f9468d9e9aad9aaa5c56e0&tk=tt_chain_token,138200,41400,30300000,232900,24100000,mzikuuu,يسوع3>,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40mzikuuu%2Fvideo%2F7198388712663977262
6,7209179700630015274,The way people treated him🙁 #thewhale #fyp #foryou #viral ,1678517991,576,576,28,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/8e9e0f30a192480a852aa5dc15923db8/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1198&bt=599&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=Mzs7ZmRlNGQ8OGk3PDdmNkBpanJ5PDw6ZnY1ajMzZzczNEAzNi42MzVhNTExMDIzLWMyYSNfbGxocjRfYDNgLS1kMS9zcw%3D%3D&expire=1681343031&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=55c982b00600c70e0d01403ec0fd1035&tk=tt_chain_token,16400,22800,29200000,67300,6100000,.lana_.irene,Irene,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40.lana_.irene%2Fvideo%2F7209179700630015274
1,7186841025250463019,First post this yearr its been a while since i havent post #fyp #fypp #fyppppppppppppppppppppppp #fypシ #nobczn0 #topher ,1673316835,1024,576,6,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/7ed348e10af744c9a21baf038ace85c2/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3074&bt=1537&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=ZzVlOTc0PDk0ZGYzNjUzaEBpM2l4O2U6ZjZmaDMzZzczNEA2LjJfX2IwNS8xXi5fNC1fYSNiZDM0cjRvZ3JgLS1kMS9zcw%3D%3D&expire=1681343010&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=396a565a511995dfaafcaf50d1a7252f&tk=tt_chain_token,13300,6749,21800000,38500,1300000,nobczn0,✨Clarissa✨,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40nobczn0%2Fvideo%2F7186841025250463019
11,7187462135956655406,Bro was in a rush😭 #fyp #funnyvideos ,1673461463,1024,576,12,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/5e93afd716d34bbb93d4557319d1d1fa/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4130&bt=2065&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=ZTRmZzxoZWZnZGVlNjM3ZkBpMzxqZ2g6ZmhpaDMzZzczNEBeXmIyXjM0NmMxLTUxMDQyYSNrNl9hcjRncXNgLS1kMS9zcw%3D%3D&expire=1681343016&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=9f8746a7fd4c5d9c9cdf967ab01fab6d&tk=tt_chain_token,43200,21400,20800000,35900,5500000,manhattansolos_,Manhattan,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40manhattansolos_%2Fvideo%2F7187462135956655406
0,7218036018522426670,#fyp ,1680579978,1024,576,32,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/3cbf16b9e7bc4d48b1f76f4db1d6e6f3/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3354&bt=1677&cs=0&ds=3&ft=_rKBMBnZq8ZmoFnZTc_vjkShsAhLrus&mime_type=video_mp4&qs=0&rc=ZTw8ZGVnNzdlOTk7OTQ5OUBpam41a2Q6ZnJzajMzZzczNEBgMS0vMS8tNmMxYTFjXl40YSNqcDVtcjRnbmlgLS1kMS9zcw%3D%3D&expire=1681343036&l=20230412174324EA0CB447498D620C62F7&ply_type=2&policy=2&signature=8d08be180ce9e38659b6c84805a65a22&tk=tt_chain_token,23500,12100,20100000,15600,3800000,justnoah1212,Truth,/getDownloadVideoWithWatermark?video_url=https%3A%2F%2Fwww.tiktok.com%2F%40justnoah1212%2Fvideo%2F7218036018522426670
